moe_itl_fund_code,cal_year,rate
IT,1954,142.09
IT,1955,145.64
IT,1956,152.35
IT,1957,155.11
IT,1958,165.13
IT,1959,167.02
IT,1960,169.63
IT,1961,173.26
IT,1962,176.9
IT,1963,180.82
IT,1964,188.95
IT,1965,193.45
IT,1966,198.01
IT,1967,211.01
IT,1968,221.71
IT,1969,230.5
IT,1970,253.44
IT,1971,276.56
IT,1972,291.66
IT,1973,321.29
IT,1974,361.61
IT,1975,418.39
IT,1976,483.84
IT,1977,557.97
IT,1978,614.33
IT,1979,715.88
IT,1980,831.38
IT,1981,961.9
IT,1982,1109.06
IT,1983,1148.96
IT,1984,1256.96
IT,1985,1448.84
IT,1986,1713.1
IT,1987,1877.4
IT,1988,1965.87
IT,1989,2107.42
IT,1990,2209.64
IT,1991,2231.27
IT,1992,2260.76
IT,1993,2292.21
IT,1994,2356.39
IT,1995,2425.16
IT,1996,2487.05
IT,1997,2507.68
IT,1998,2516.85
IT,1999,2529.64
IT,2000,2630.22
IT,2001,2678
IT,2002,2678
IT,2003,2678
IT,2004,2678
IT,2005,2678
IT,2006,2678
IT,2007,2774
IT,2008,2845
IT,2009,2919
IT,2010,2919
IT,2011,2919
IT,2012,2919
IT,2013,2919
IT,2014,3200
IT,2015,3200
IT,2016,3200
IT,2017,3200
MA,1998,2516.85
MA,1999,2529.64
MA,2000,2630.22
MA,2001,2678
MA,2002,2678
MA,2003,2678
MA,2004,2678
MA,2005,2678
MA,2006,2678
MA,2007,2774
MA,2008,2845
MA,2009,2919
MA,2010,2919
MA,2011,2919
MA,2012,2919
MA,2013,2919
MA,2014,5200
MA,2015,5200
MA,2016,5200
MA,2017,5200
NZA,2014,5200
NZA,2015,5200
NZA,2016,5200
NZA,2017,5200
