diagnosis,code_type,code,aux,explanation
alcohol_abuse,offence,6121,,Trespass Alcoholism And Drug Addiction Act
alcohol_abuse,offence,8110,,Driving Under Influence
alcohol_abuse,offence,8111,,Driving Causing Injury Through Drink
alcohol_abuse,offence,8113,,Driving Causing Injury Through Drink And Drug
alcohol_abuse,offence,8114,,Driving Causing Death Through Drink
alcohol_abuse,offence,8116,,Driving Causing Death Through Drink And Drug
alcohol_abuse,offence,8117,,Causing Injury Through Excess Breath/Alcohol
alcohol_abuse,offence,8118,,Causing Death Through Excess Breath/Alcohol
alcohol_abuse,offence,8120,,Driving Under Influence
alcohol_abuse,offence,8121,,Causing Injury Through Excess Blood/Alcohol
alcohol_abuse,offence,8122,,Causing Death Through Excess Blood/Alcohol
alcohol_abuse,offence,8123,,Careless Use Causing Injury Through Drink
alcohol_abuse,offence,8125,,Careless Use Causing Death Through Drink
alcohol_abuse,offence,8127,,Drove With Excess Breath/Alcohol
alcohol_abuse,offence,8128,,Drove With Excess Blood Alcohol
alcohol_abuse,offence,8130,,Driving Under Influence
alcohol_abuse,offence,8131,,Driving Under The Influence Of Drink
alcohol_abuse,offence,8133,,Driving Under The Influence Of Drink And Drug
alcohol_abuse,offence,8134,,In Charge Motor Vehicle Under Influence Drink
alcohol_abuse,offence,8136,,In Charge Motor Vehicle Under Influence Drink & Drug
alcohol_abuse,offence,8190,,Driving Under Influence Drink/Drug
alcohol_abuse,offence,8191,,Licensed Person Driving Excess Blood Alcohol Level
alcohol_abuse,offence,8192,,Unlicensed Person Driving Excess Blood Alcoh Level
alcohol_abuse,offence,8193,,Licensed Person Driving Excess Breath Alcohol Level
alcohol_abuse,offence,8194,,Unlicensed Person Drive Excess Breath Alcoh Level
alcohol_abuse,offence,8910,,Driving Under Influence
alcohol_abuse,offence,8911,,Cause Bodily Injury Through Drink
alcohol_abuse,offence,8912,,Cause Death Through Drink
alcohol_abuse,offence,8915,,Drive Under The Influence Of Drink
alcohol_abuse,offence,8917,,Drive With Excess Blood Alcohol
alcohol_abuse,offence,8918,,Drive With Excess Breath Alcohol
alcohol_abuse,offence,8919,,Other Drive Under Influence
alcohol_abuse,offence,8920,,Attempts To Drive Under Influence
alcohol_abuse,offence,8921,,Attempts To Drive Und Infldrink
alcohol_abuse,offence,8923,,Attempts To Drive With Ex Bl Alcohol
alcohol_abuse,offence,8924,,Attempt Drive Excess Breath Alcohol
alcohol_abuse,offence,8929,,Other Attempts To Drive Und Influence
alcohol_abuse,offence,8930,,In Charge Under Influence
alcohol_abuse,offence,8931,,In Charge Under Influence Drink
alcohol_abuse,offence,8939,,Other In Charge Under Influence
alcohol_abuse,offence,A100,,Driving Under The Influence Of Drink Or Drug
alcohol_abuse,offence,A101,,Driving Under The Influence Of Drink
alcohol_abuse,offence,A103,,Cause Injury While Under Influence Of Drink
alcohol_abuse,offence,A105,,Cause Death While Under Influence Of Drink
alcohol_abuse,offence,A107,,Excess Breath Alcohol Causing Injury
alcohol_abuse,offence,A108,,Excess Breath Alcohol Causing Death
alcohol_abuse,offence,A109,,Driving Under The Influence Of Drink/Drug Or Both
alcohol_abuse,offence,A110,,Cause Injury While Under Influence Of Drink/Drug
alcohol_abuse,offence,A111,,Cause Death While Under Infl Of Drink/Drug
alcohol_abuse,offence,A113,,Careless driving while under influence of drink or drug causing death
alcohol_abuse,offence,A114,,Careless driving while under influence of drink or drug causing injury
alcohol_abuse,offence,A130,,Drove Under Influence Drink Or Drugs - 3Rd Or Subsequent
alcohol_abuse,offence,A202,,Alcohol Interlock Licence Holder Offended In Relation To Interlock Device
alcohol_abuse,offence,A204,,Alcohol Interlock Licensee's Breath Contained Alcohol - Not Over 400 mcgs
alcohol_abuse,offence,A205,,Zero Alcohol Licensee's Breath Contained Alcohol - Not Over 400 mcgs
alcohol_abuse,offence,A206,,Alcohol Interlock Licensee's Blood Contained Alcohol - Not Over 80 mcgs
alcohol_abuse,offence,A207,,Zero Alcohol Licensee's Blood Contained Alcohol - Not Over 80 mcgs
alcohol_abuse,offence,A208,,Alcohol Interlock Licensee's Breath Contained Alcohol - Over 400 mcgs
alcohol_abuse,offence,A209,,Zero Alcohol Licensee's Breath Contained Alcohol - Over 400 mcgs
alcohol_abuse,offence,A210,,Alcohol Interlock Licensee's Blood Contained Alcohol - Over 80 mcgs
alcohol_abuse,offence,A211,,Zero Alcohol Licensee's Blood Contained Alcohol - Over 80 mgms
alcohol_abuse,offence,A212,,Alcohol Interlock Licensee's Breath Contained Alcohol - not over 250mcgs
alcohol_abuse,offence,A213,,Zero Alcohol Licensee's Breath Contained Alcohol - not over 250mcgs
alcohol_abuse,offence,A214,,Alcohol Interlock Licensee's Blood Contained Alcohol - not over 50mgms
